calibration_index,sample_id,input_file,reference_file,selection
0,4,images/img_004_SR10.6_RMSE0.0214_SSIM0.8896.JPEG,img_004_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
1,8,images/img_008_SR9.2_RMSE0.0332_SSIM0.8108.JPEG,img_008_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
2,14,images/img_014_SR9.3_RMSE0.0577_SSIM0.7213.JPEG,img_014_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
3,16,images/img_016_SR11.9_RMSE0.0525_SSIM0.7086.JPEG,img_016_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
4,17,images/img_017_SR9.1_RMSE0.0355_SSIM0.7415.JPEG,img_017_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
5,27,images/img_027_SR11.0_RMSE0.0431_SSIM0.7148.JPEG,img_027_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
6,28,images/img_028_SR9.5_RMSE0.0447_SSIM0.7514.JPEG,img_028_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
7,43,images/img_043_SR12.3_RMSE0.0420_SSIM0.7162.JPEG,img_043_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
8,44,images/img_044_SR9.5_RMSE0.0350_SSIM0.7856.JPEG,img_044_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
9,54,images/img_054_SR11.5_RMSE0.0385_SSIM0.7968.JPEG,img_054_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
10,57,images/img_057_SR9.7_RMSE0.0318_SSIM0.8047.JPEG,img_057_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
11,71,images/img_071_SR10.3_RMSE0.0411_SSIM0.7781.JPEG,img_071_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
12,75,images/img_075_SR9.9_RMSE0.0395_SSIM0.7665.JPEG,img_075_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
13,80,images/img_080_SR7.7_RMSE0.0426_SSIM0.7502.JPEG,img_080_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
14,88,images/img_088_SR14.5_RMSE0.0598_SSIM0.7040.JPEG,img_088_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
15,89,images/img_089_SR11.8_RMSE0.0541_SSIM0.7514.JPEG,img_089_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
16,98,images/img_098_SR12.8_RMSE0.0537_SSIM0.7791.JPEG,img_098_original.JPEG,deterministic_random_seed_905_from_first_6400_training_pairs
